English,Romanian
hello,Buna ziua
which,care
years,ani
room,cameră
money,bani
left,stânga
knew,știa
tonight,astă seară
real,real
son,fiule
hope,speranţă
name,nume
same,la fel
went,a mers
um,Um
hmm,Hmm
happy,fericit
pretty,frumos
saw,a văzut
girl,fată
sir,domnule
show,spectacol
friend,prieten
already,deja
saying,zicală
May,Mai
next,utrmătorul
three,trei
job,loc de munca
problem,problemă
minute,minut
found,găsite
world,lume
thinking,gândire
haven't,nu
heard,auzit
honey,miere
matter,chestiune
myself,eu insumi
couldn't,nu a putut
exactly,exact
having,având
probably,probabil
happen,întâmpla
we've,noi
hurt,rănit
boy,băiat
both,ambii
while,in timp ce
dead,mort
alone,singur
since,de cand
excuse,scuză
start,start
kill,ucide
hard,greu
you'd,tu ai fi
today,astăzi
car,mașină
ready,gata
until,pana cand
without,fără
whatever,tot ceea ce
wants,vrea
hold,ține
wanna,vrei
yet,inca
seen,văzut
deal,afacere
took,a luat
once,o singura data
gone,plecat
called,chemat
morning,dimineaţă
supposed,presupus
friends,prieteni
head,cap
stuff,chestie
most,cel mai
used,folosit
worry,îngrijorare
second,al doilea
part,parte
live,trăi
truth,adevăr
school,şcoală
face,față
forget,a uita
TRUE,ADEVĂRAT
business,Afaceri
each,fiecare
cause,cauză
soon,curând
knows,știe
few,puțini
telling,spune
wife,soție
who's,Cine este
use,utilizare
chance,şansă
run,alerga
move,mutare
anyone,oricine
person,persoană
bye,pa
somebody,cineva
heart,Inima
such,astfel de
miss,domnișoară
married,căsătorit
point,punct
later,mai tarziu
making,făcând
meet,întâlni
anyway,oricum
many,mulți
phone,telefon
reason,motiv
damn,La naiba
lost,pierdut
looks,aspect
bring,aduce
case,caz
turn,rotiți
wish,dori
tomorrow,Mâine
kids,copii
trust,încredere
check,verifică
change,schimbare
end,Sfârşit
late,târziu
anymore,mai
five,cinci
least,cel mai puţin
town,oraș
aren't,nu sunt
working,lucru
year,an
makes,face
taking,luând
means,mijloace
brother,frate
play,joacă
hate,ură
ago,în urmă
says,spune
beautiful,frumoasa
gave,a dat
fact,fapt
crazy,nebun
party,parte
sit,sta
open,deschis
afraid,frică
between,între
important,important
rest,odihnă
fun,distracţie
kid,copil
word,cuvânt
watch,ceas
glad,bucuros
everyone,toata lumea
days,zile
sister,sora
minutes,minute
everybody,toata lumea
bit,pic
couple,cuplu
whoa,Whoa
either,fie
Mrs.,Doamna.
feeling,sentiment
daughter,fiică
gets,devine
asked,întrebat
under,sub
break,pauză
promise,promisiune
door,uşă
set,a stabilit
close,închide
hand,mână
easy,uşor
question,întrebare
doctor,doctor
tried,încercat
far,departe
walk,mers pe jos
needs,are nevoie
trouble,necaz
mine,A mea
though,deşi
times,ori
different,diferit
killed,ucis
hospital,spital
anybody,cineva
alright,bine
wedding,nuntă
shut,închis
able,in stare
die,a muri
perfect,perfect
police,politie
stand,stand
comes,vine
hit,lovit
story,poveste
ya,YA
waiting,aşteptare
dinner,masa de seara
against,împotriva
funny,amuzant
husband,soț
almost,aproape
stupid,prost
pay,a plati
answer,răspuns
four,Patru
office,birou
cool,rece
eyes,ochi
news,știri
child,copil
shouldn't,nu ar trebui
half,jumătate
side,latură
yours,a ta
moment,moment
sleep,dormi
read,citit
where's,unde e
started,a început
young,tineri
men,bărbați
sounds,sunete
Sonny,Fiule
lucky,norocos
pick,alege
sometimes,uneori
bed,pat
also,de asemenea
date,Data
line,linia
plan,plan
hours,ore
lose,pierde
fire,foc
free,gratuit
hands,mâini
serious,serios
Leo,Leu
shit,rahat
behind,in spate
inside,interior
high,înalt
ahead,înainte
week,săptămână
wonderful,minunat
fight,luptă
past,trecut
cut,a tăia
quite,destul de
number,număr
he'll,iad
sick,bolnav
it'll,O să fie
game,joc
eat,mânca
nobody,nimeni
goes,pleacă
death,moarte
along,de -a lungul
save,Salvați
seems,pare
finally,in cele din urma
lives,vieți
worried,îngrijorat
upset,deranjat
met,întâlnit
book,carte
brought,adus
seem,par
sort,fel
safe,sigur
living,viaţă
children,copii
weren't,Nu eram
leaving,plecând
front,față
shot,lovitură
loved,iubit
asking,întrebând
running,alergare
clear,clar
figure,figura
hot,fierbinte
felt,simțit
six,şase
parents,părinţi
drink,băutură
absolutely,absolut
how's,Cum e
daddy,Tati
sweet,dulce
alive,în viaţă
Paul,Paul
sense,sens
meant,însemnat
happens,se întâmplă
special,special
bet,pariu
blood,sânge
kidding,glumesc
lie,minciună
full,deplin
meeting,întâlnire
dear,dragă
coffee,cafea
seeing,văzând
sound,sunet
fault,vina
water,apă
fuck,La dracu
ten,zece
women,femei
welcome,Bine ati venit
buy,cumpără
months,luni
hour,ora
speak,vorbi
lady,doamnă
Jen,Jen
thinks,Gândește
Christmas,Crăciun
body,corp
order,ordin
outside,in afara
hang,atârna
possible,posibil
worse,mai rau
company,companie
mistake,greşeală
ooh,ooh
handle,mâner
spend,petrece
totally,intru totul
giving,dăruire
control,Control
here's,iată
marriage,căsătorie
realize,realizează
power,putere
president,președinte
unless,dacă nu
sex,sex
girls,fete
send,trimite
needed,necesar
taken,Luat
died,decedat
scared,speriat
picture,imagine
talked,a vorbit
Jake,Jake
ass,cur
hundred,sută
changed,schimbat
completely,complet
explain,explica
playing,joc
certainly,cu siguranță
sign,semn
boys,băieți
relationship,relaţie
loves,Iubeste
fucking,dracului
hair,păr
lying,minciuna
choice,alegere
anywhere,oriunde
secret,secret
future,viitor
weird,ciudat
luck,noroc
she'll,coajă
Luis,Luis
turned,întors
known,cunoscut
touch,atingere
kiss,sărut
Crane,Macara
questions,întrebări
obviously,evident
wonder,mirare
pain,durere
calling,chemarea
somewhere,undeva
throw,arunca
straight,Drept
Grace,Graţie
cold,rece
white,alb
fast,rapid
Natalie,Natalie
words,cuvinte
food,alimente
none,nici unul
drive,conduce
feelings,sentimente
they'll,vor
worked,a lucrat
marry,căsătoriți -vă
light,ușoară
test,test
drop,cădere brusca
cannot,nu poti
Frank,Sincer
sent,trimis
city,oraș
dream,vis
protect,proteja
twenty,douăzeci
class,clasă
surprise,surprinde
its,este
sweetheart,dragă
forever,pentru totdeauna
poor,sărac
looked,privit
mad,nebun
except,cu exceptia
gun,armă
y'know,Știi
dance,dans
takes,ia
appreciate,a aprecia
especially,mai ales
situation,situatie
besides,in afara de asta
weeks,săptămâni
pull,Trage
himself,se
hasn't,nu are
act,act
worth,in valoare de
amazing,uimitor
top,top
given,dat
expect,aştepta
Ben,Ben
rather,mai degraba
Julian,Iulian
involved,implicat
swear,jura
piece,bucată
busy,ocupat
law,lege
decided,hotărât
black ,negru
happening,se întâmplă
movie,film
we'd,am fi
catch,captură
Antonio,Antonio
country,țară
less,Mai puțin
perhaps,poate
step,Etapa
fall,toamna
watching,Privind
kept,ținut
darling,Dragă
dog,câine
win,victorie
air,aer
honor,onora
personal,personal
moving,in miscare
till,până
admit,recunoaște
problems,Probleme
murder,crimă
strong,puternic
he'd,el ar fi
evil,rău
definitely,categoric
feels,simte
information,informație
honest,sincer
eye,ochi
broke,rupt
missed,ratat
longer,mai lung
dollars,dolari
tired,obosit
George,George
evening,seară
human,uman
starting,pornire
Ross,Ross
red,roșu
entire,întreg
trip,călătorie
club,club
suppose,presupune
calm,calm
imagine,imagina
fair,corect
caught,prins
blame,vina
street,stradă
sitting,stând
favor,favoare
apartment,apartament
court,curte
terrible,teribil
clean,curat
learn,învăța
Alison,Alison
Rick,Rick
works,lucrări
Rose,Trandafir
relax,Relaxați-vă
million,milion
charity,caritate
accident,accident
wake,trezi
prove,dovedi
Danny,Danny
smart,inteligent
message,mesaj
missing,dispărut
forgot,uitat
small,mic
interested,interesat
table,masa
become,deveni
mouth,gură
pregnant,gravidă
middle,mijloc
ring,inel
careful,atent
shall,trebuie
dude,Omule
team,echipă
ride,plimbare
figured,Figurat
wear,purta
shoot,trage
stick,băț
follow,urma
angry,furios
instead,in schimb
buddy,amice
write,scrie
stopped,oprit
early,din timp
Angel,Înger
ran,a fugit
war,război
standing,permanent
forgive,ierta
jail,temniță
wearing,purtare
Miguel,Miguel
ladies,doamnelor
kinda,oarecum
lunch,Masa de pranz
eight,opt
gotten,a obținut
hoping,sperând
Phoebe,Phoebe
thousand,mie
ridge,creastă
music,muzică
Luke,Luca
paper,hârtie
tough,greu
tape,bandă
state,stat
count,numara
college,colegiu
boyfriend,iubit
proud,mândru
agree,de acord
birthday,zi de nastere
bill,factură
seven,Șapte
they've,au
history,istorie
share,acțiune
offer,oferi
hurry,grabă
ow,Au
feet,picioare
wondering,Întrebându -se
simple,simplu
decision,decizie
building,clădire
ones,cele
finish,finalizarea
voice,voce
herself,se
would've,ar fi fost
list,listă
mess,mizerie
deserve,merita
evidence,dovezi
cute,drăguţ
dress,rochie
Richard,Richard
interesting,interesant
Jesus,Iisus
James,James
hotel,hotel
enjoy,Bucurați -vă
quiet,Liniște
concerned,îngrijorat
road,drum
staying,rămânând
short,mic de statura
beat,bate
sweetie,dulceata
mention,menționare
clothes,haine
finished,terminat
fell,căzut
neither,nici
respect,respect
spent,a petrecut
prison,închisoare
attention,Atenţie
holding,deținere
calls,apeluri
near,aproape
surprised,uimit
bar,bar
Beth,Beth
pass,trece
keeping,păstrând
gift,cadou
hadn't,nu avea
putting,punând
dark,întuneric
self,de sine
owe,datora
using,folosind
Nora,Nora
ice,gheaţă
helping,ajutor
bitch,căţea
normal,normal
aunt,mătuşă
lawyer,avocat
apart,în afară
certain,anumit
plans,planuri
Jax,Jax
girlfriend,iubita
floor,podea
whether,dacă
everything's,Totul este
present,prezent
earth,Pământ
private,privat
Jessica,Jessica
box,cutie
Dawson,Dawson
cover,acoperi
judge,judecător
upstairs,la etaj
sake,dragul
mommy,Mami
possibly,eventual
worst,cel mai rău
